Curve Name,Curve Length (um),Average Curvature (um-1),Curvature Std (um-1),X-Coordinate (um),Y-Coordinate (um),Point Curvature (um-1),Point Curvature Sign,Red Intensity,Green Intensity,Blue Intensity,,radius in nm,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021896214,0.154555303,110.7234515,1,109,109,109,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021906528,0.154574772,109.6193605,1,95,95,95,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021916902,0.154594237,108.5148526,1,95,95,95,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021927333,0.1546137,107.4101207,1,95,95,95,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021937823,0.15463316,106.3053527,1,95,95,95,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02194837,0.154652618,105.2007349,1,95,95,95,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021958976,0.154672075,104.0964491,1,95,95,95,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021969639,0.15469153,102.9926737,1,95,95,95,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021980359,0.154710984,101.8895843,1,95,95,95,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021991137,0.154730437,100.7873534,1,95,95,95,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022001971,0.154749891,99.68614848,1,95,95,95,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022012863,0.154769344,98.5861355,1,95,95,95,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02202381,0.154788798,97.48747577,1,95,95,95,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022034814,0.154808252,96.39032725,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022045875,0.154827708,95.29484502,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022056991,0.154847165,94.20118113,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022068162,0.154866624,93.10948269,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022079389,0.154886085,92.01989524,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022090671,0.154905548,90.93255979,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022102009,0.154925015,89.84761405,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022113401,0.154944485,88.76519291,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022124847,0.154963959,87.68542836,1,118,118,118,,10.42088902,,,,
