"Curve Name","Curve Length (um)","Average Curvature (um-1)","Curvature Std (um-1)","X-Coordinate (um)","Y-Coordinate (um)","Point Curvature (um-1)","Point Curvature Sign","Red Intensity","Green Intensity","Blue Intensity"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17830491847991944","0.2602943834304809","48.07434341616118","-1","73.0","73.0","73.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17832654168605802","0.2602852313280105","47.10257925267633","-1","73.0","73.0","73.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17834815673828125","0.2602761108398437","46.12313024520418","-1","73.0","73.0","73.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1783697637796402","0.26026702125072476","45.1361401867451","-1","73.0","73.0","73.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17839136295318603","0.2602579618453979","44.141755330811144","-1","73.0","73.0","73.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17841295440196991","0.2602489319086075","43.14012244544669","-1","73.0","73.0","73.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17843453826904299","0.2602399307250976","42.13139017066592","-1","73.0","73.0","73.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17845611469745634","0.2602309575796127","41.1157085142804","-1","73.0","73.0","73.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17847768383026122","0.26022201175689696","40.0932290412668","-1","73.0","73.0","73.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17849924581050874","0.2602130925416946","39.06410396924723","-1","73.0","73.0","73.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17852080078125","0.26020419921875","38.028487635123355","-1","117.0","117.0","117.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1785423488855362","0.2601953310728073","36.986534821770206","-1","117.0","117.0","117.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17856389026641847","0.2601864873886108","35.938401797958264","-1","117.0","117.0","117.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1785854250669479","0.2601776674509048","34.88424616568129","-1","117.0","117.0","117.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17860695343017577","0.26016887054443355","33.824226724521424","-1","117.0","117.0","117.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17862847549915314","0.2601600959539413","32.758502699121465","-1","117.0","117.0","117.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17864999141693114","0.2601513429641723","31.68723539890892","-1","117.0","117.0","117.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17867150132656098","0.2601426108598709","30.61058615387128","-1","117.0","117.0","117.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17869300537109375","0.2601338989257812","29.528717786586103","-1","117.0","117.0","117.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1787145036935806","0.2601252064466476","28.441794026211205","-1","117.0","117.0","117.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17873599643707275","0.26011653270721435","27.349979795743657","-1","117.0","117.0","117.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17875748374462128","0.2601078769922256","26.253440219204244","-1","117.0","117.0","117.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17877896575927732","0.26009923858642575","25.152342168517315","-1","109.0","109.0","109.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1788004426240921","0.260090616774559","24.04685256062269","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1788219144821167","0.26008201084136956","22.937139388583066","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17884338147640227","0.26007342007160184","21.823371618978765","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17886484375","0.26006484375","20.705719030752658","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17888630144596102","0.26005628116130824","19.584351458167173","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1789077547073364","0.26004773159027095","18.459440460068887","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17892920367717743","0.26003919432163236","17.331157237068858","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17895064849853518","0.2600306686401367","16.19967414235897","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17897208931446074","0.26002215383052824","15.065164102064216","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17899352626800535","0.26001364917755126","13.927800859807737","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17901495950222016","0.26000515396595","12.787758035645089","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17903638916015624","0.25999666748046873","11.645210684924162","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17905781538486482","0.25998818900585174","10.500333521619856","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17907923831939698","0.2599797178268432","9.353302076930797","-1","110.0","110.0","110.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17910065810680387","0.25997125322818754","8.204292496343859","-1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1791220748901367","0.2599627944946289","7.053481433350295","-1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1791434888124466","0.2599543409109115","5.9010452648376965","-1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17916490001678465","0.25994589176177973","4.747161813470614","-1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17918630864620208","0.2599374463319778","3.5920082075439597","-1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17920771484375","0.25992900390624996","2.435762447610461","-1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17922911875247954","0.2599205637693405","1.2786027659109065","-1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17925052051544188","0.2599121252059936","0.12070796656331703","-1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17927192027568817","0.2599036875009536","1.0377436070708774","1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1792933181762695","0.2598952499389648","2.1965724654441265","1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1793147143602371","0.2598868118047714","3.355599727777953","1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1793361089706421","0.2598783723831176","4.514646039784372","1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17935750215053556","0.25986993095874783","5.673531691308027","1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17937889404296875","0.25986148681640625","6.83207677141988","1","106.0","106.0","106.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17940028479099274","0.259853039240837","7.9901019232285","1","113.0","113.0","113.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17942167453765867","0.25984458751678463","9.147426663031977","1","113.0","113.0","113.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17944306342601776","0.2598361309289932","10.303871480721988","1","113.0","113.0","113.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1794644515991211","0.259827668762207","11.45925630288744","1","113.0","113.0","113.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17948583920001981","0.25981920030117034","12.613401088039119","1","113.0","113.0","113.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17950722637176514","0.2598107248306274","13.766125574688699","1","113.0","113.0","113.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17952861325740815","0.2598022416353225","14.91725022890061","1","113.0","113.0","113.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17955","0.25979375","16.06659468042272","1","118.0","118.0","118.0"
